number,title_wiki,title_movieLens,movieLensID
3,Carnosaur 3: Primal Species (1996),Carnosaur 3: Primal Species (1996),3574
1,Fort Apache (1948),Fort Apache (1948),25938
2,She Wore a Yellow Ribbon (1949),She Wore a Yellow Ribbon (1949),5440
3,Rio Grande (1950),Rio Grande (1950),5826
1,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005),Chronicles of Narnia: The Lion The Witch and the Wardrobe The (2005),41566
2,The Chronicles of Narnia: Prince Caspian (2008),Chronicles of Narnia: Prince Caspian The (2008),59501
3,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),Chronicles of Narnia: The Voyage of the Dawn Treader The (2010),82169
1,Pitch Black (2000),Pitch Black (2000),3300
2,The Chronicles of Riddick (2004),Chronicles of Riddick The (2004),8371
3,Riddick (2013),Riddick (2013),104243
1,Cinderella (1950),Cinderella (1950),1022
2,Cinderella II: Dreams Come True (2002),Cinderella II: Dreams Come True (2002),96405
3,Cinderella III: A Twist in Time (2007),Cinderella III: A Twist in Time (2007),131080
1,Class of 1984 (1982),Class of 1984 (1982),5935
2,Class of 1999 (1990),Class of 1999 (1990),104085
3,Class of 1999 II: The Substitute (1994),Class of 1999 II: The Substitute (1994),104181
1,Crocodile Dundee (1986),Crocodile Dundee (1986),2470
2,Crocodile Dundee II (1988),Crocodile Dundee II (1988),2471
3,Crocodile Dundee in Los Angeles (2001),Crocodile Dundee in Los Angeles (2001),4254
1,Cube (1997),Cube (1997),2232
2,Cube 2: Hypercube (2002),Cube 2: Hypercube (2002),27482
3,Cube Zero (2004),Cube Zero (2004),32213
1,Batman Begins (2005),Batman Begins (2005),33794
2,The Dark Knight (2008),Dark Knight The (2008),58559
3,The Dark Knight Rises (2012),Dark Knight Rises The (2012),91529
1,Night of the Living Dead (1990),Night of the Living Dead (1990),8225
2,Dawn of the Dead (2004),Dawn of the Dead (2004),7360
3,Day of the Dead (2008),Day of the Dead (2008),67073
1,Dead or Alive: Hanzaisha (1999),Dead or Alive: Hanzaisha (1999),8142
2,Dead or Alive 2: Tôbôsha (2000),Dead or Alive 2: Tôbôsha (2000),27480
3,Dead or Alive: Final (2002),Dead or Alive: Final (2002),27549
1,Gerry (2002),Gerry (2002),6162
2,Elephant (2003),Elephant (2003),6890
3,Last Days (2005),Last Days (2005),34326
1,The Computer Wore Tennis Shoes (1969),Computer Wore Tennis Shoes The (1969),2040
2,Now You See Him, Now You Dont (1972),Now You See Him Now You Dont (1972),8544
3,The Strongest Man in the World (1975),Strongest Man in the World The (1975),83777
1,The Name of the Doctor (2013),Day of the Doctor The (2013),106642
2,The Day of the Doctor (2013),Day of the Doctor The (2013),106642
3,The Time of the Doctor (2013),Doctor Who: The Time of the Doctor (2013),117192
1,Metropolitan (1990),Metropolitan (1990),1966
2,Barcelona (1994),Barcelona (1994),417
3,The Last Days of Disco (1998),Last Days of Disco The (1998),1836
1,Fire (1996),Fire (1996),6683
2,Earth (1998),Earth (1998),6682
3,Water (2005),Water (2005),43333
1,The Expendables (2010),The Expelled (2010),121192
2,The Expendables 2 (2012),Expendables 2 The (2012),91485
3,The Expendables 3 (2014),Expendables 3 The (2014),112897
1,Feast (2005),Feast (2005),48678
2,Feast 2: Sloppy Seconds (2008),Feast II: Sloppy Seconds (2008),70607
3,Feast III: The Happy Finish (2009),Feast III: The Happy Finish (2009),94444
1,Flash Gordon (1936),Flash Gordon (1936),67869
2,Flash Gordons Trip to Mars (1938),Flash Gordons Trip to Mars (1938),69042
3,Flash Gordon Conquers the Universe (1940),Flash Gordon Conquers the Universe (1940),8677
1,Flodder (1986),Flodder (1986),26571
2,Flodders in America (1992),Flodder in Amerika! (1992),86033
3,Flodder 3 (1995),Flodder 3 (1995),131128
1,Friday (1995),Friday (1995),69
2,Next Friday (2000),Next Friday (2000),3177
3,Friday After Next (2002),Friday After Next (2002),5874
1,Garfield Gets Real (2007),Garfield Gets Real (2007),120438
2,Garfields Fun Fest (2008),Garfields Fun Fest (2008),120440
3,Garfields Pet Force (2009),Garfields Pet Force (2009),69469
1,Ginger Snaps (2000),Ginger Snaps (2000),6820
2,Ginger Snaps 2: Unleashed (2004),Ginger Snaps: Unleashed (2004),27746
3,Ginger Snaps Back: The Beginning (2004),Ginger Snaps Back: The Beginning (2004),27778
1,The Godfather (1972),Godfather The (1972),858
2,The Godfather Part II (1974),Godfather: Part II The (1974),1221
3,The Godfather Part III (1990),Godfather: Part III The (1990),2023
1,The Grudge (2004),Grudge The (2004),8947
2,The Grudge 2 (2006),Grudge 2 The (2006),48591
3,The Grudge 3 (2009),Grudge 3 The (2009),66066
1,The Hangover (2009),Hangover The (2009),69122
2,The Hangover Part II (2011),Hangover Part II The (2011),86911
3,The Hangover Part III (2013),Hangover Part III The (2013),102686
1,Harold & Kumar Go to White Castle (2004),Harold and Kumar Go to White Castle (2004),8807
2,Harold & Kumar Escape from Guantanamo Bay (2008),Harold & Kumar Escape from Guantanamo Bay (2008),59022
3,A Very Harold & Kumar 3D Christmas (2011),Very Harold & Kumar 3D Christmas A (2011),88954
1,Honey, I Shrunk the Kids (1989),Honey I Shrunk the Kids (1989),2054
2,Honey, I Blew Up the Kid (1992),Honey I Blew Up the Kid (1992),2053
3,Honey, We Shrunk Ourselves (1997),Honey We Shrunk Ourselves (1997),128944
1,In the Heat of the Night (1967),In the Heat of the Night (1967),1950
2,They Call Me MISTER Tibbs! (1970),They Call Me Mister Tibbs! (1970),44611
3,The Organization (1971),Organization The (1971),41792
1,Ip Man (2008),Ip Man (2008),65514
2,Ip Man 2 (2010),Ip Man 2 (2010),79553
3,Ip Man 3 (2015),Taken 3 (2015),120635
1,Jackass: The Movie (2002),Jackass: The Movie (2002),5785
2,Jackass Number Two (2006),Jackass Number Two (2006),48322
3,Jackass 3D (2010),Jackass 3D (2010),81156
1,Koi... Mil Gaya (2003),Koi... Mil Gaya (2003),101719
2,Krrish (2006),Krrish (2006),46770
3,Krrish 3 (2013),Krrish 3 (2013),106561
1,Left Behind (2000),Left Behind: The Movie (2000),4142
2,Left Behind II: Tribulation Force (2002),Left Behind II: Tribulation Force (2002),5832
3,Left Behind: World at War (2005),Left Behind: World at War (2005),39408
1,Legally Blonde (2001),Legally Blonde (2001),4447
2,Legally Blonde 2: Red, White & Blonde (2003),Legally Blonde 2: Red White & Blonde (2003),6535
3,Legally Blondes (2009),Legally Blondes (2009),106910
1,The Librarian: Quest for the Spear (2004),Librarian: Quest for the Spear The (2004),53140
2,The Librarian: Return to King Solomons Mines (2006),Librarian: Return to King Solomons Mines The (2006),53138
3,The Librarian: Curse of the Judas Chalice (2008),Librarian The: The Curse of the Judas Chalice (2008),69805
1,The Little Mermaid (1989),Little Mermaid The (1989),2081
2,The Little Mermaid II: Return to the Sea (2000),Little Mermaid 2: Return to the Sea The (2000),60806
3,The Little Mermaid: Ariels Beginning (2008),Little Mermaid: Ariels Beginning The (2008),96069
1,Look Whos Talking (1989),Look Whos Talking (1989),4621
2,Look Whos Talking Too (1990),Look Whos Talking Too (1990),7701
3,Look Whos Talking Now (1993),Look Whos Talking Now (1993),5452
1,The Lost Boys (1987),Lost Boys The (1987),4128
2,Lost Boys: The Tribe (2008),Lost Boys: The Tribe (2008),62788
3,Lost Boys: The Thirst (2010),Lost Boys: The Thirst (2010),81080
1,Major League (1989),Major League (1989),4623
2,Major League II (1994),Major League II (1994),26870
3,Major League: Back to the Minors (1998),Major League: Back to the Minors (1998),1863
1,The Matrix (1999),Matrix The (1999),2571
2,The Matrix Reloaded (2003),Matrix Reloaded The (2003),6365
3,The Matrix Revolutions (2003),Matrix Revolutions The (2003),6934
1,Meet the Parents (2000),Meet the Parents (2000),3948
2,Meet the Fockers (2004),Meet the Fockers (2004),30825
3,Little Fockers (2010),Little Fockers (2010),82852
1,El Mariachi (1992),Mariachi El (1992),3267
2,Desperado (1995),Desperado (1995),163
3,Once Upon a Time In Mexico (2003),Once Upon a Time in Mexico (2003),6709
1,If.... (1968),If.... (1968),2285
2,O Lucky Man! (1973),O Lucky Man! (1973),53887
3,Britannia Hospital (1982),Britannia Hospital (1982),5931
1,The Mighty Ducks (1992),Mighty Ducks The (1992),2082
2,D2: The Mighty Ducks (1994),D2: The Mighty Ducks (1994),2042
3,D3: The Mighty Ducks (1996),D3: The Mighty Ducks (1996),1005
1,Mimic (1997),Mimic (1997),1603
2,Mimic 2 (2001),Mimic 2 (2001),27327
3,Mimic 3: Sentinel (2003),Mimic: Sentinel (2003),46613
1,Missing in Action (1984),Missing in Action (1984),3766
2,Missing in Action 2: The Beginning (1985),Missing in Action 2: The Beginning (1985),3767
3,Braddock: Missing in Action III (1988),Braddock: Missing in Action III (1988),3768
1,The Naked Gun: From the Files of Police Squad! (1988),Naked Gun: From the Files of Police Squad! The (1988),3868
2,The Naked Gun 2½: The Smell of Fear (1991),Naked Gun 2 1/2: The Smell of Fear The (1991),3869
3,Naked Gun 33⅓: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult (1994),370
1,Night at the Museum (2006),Night at the Museum (2006),46972
2,Night at the Museum: Battle of the Smithsonian (2009),Night at the Museum: Battle of the Smithsonian (2009),68793
3,Night at the Museum: Secret of the Tomb (2014),Night at the Museum: Secret of the Tomb (2014),119155
1,Oh, God! (1977),Oh God! (1977),5214
2,Oh, God! Book II (1980),Oh God! Book II (1980),5213
3,Oh, God! You Devil (1984),Oh God! You Devil (1984),32116
1,Poltergeist (1982),Poltergeist (1982),1994
2,Poltergeist II: The Other Side (1986),Poltergeist II: The Other Side (1986),1995
3,Poltergeist III (1988),Poltergeist III (1988),1996
1,Porkys (1982),Porkys (1982),3688
2,Porkys II: The Next Day (1983),Porkys II: The Next Day (1983),3689
3,Porkys Revenge (1985),Porkys Revenge (1985),3690
1,Pusher (1996),Pusher (1996),26947
2,Pusher II: With Blood on my Hands (2004),Pusher II: With Blood on My Hands (2004),34811
3,Pusher III: Im the Angel of Death (2005),Pusher III: Im the Angel of Death (2005),51545
1,Rio Bravo (1959),Rio Bravo (1959),4329
2,El Dorado (1966),El Dorado (1966),3487
3,Rio Lobo (1970),Rio Lobo (1970),6401
1,RoboCop (1987),RoboCop (1987),2985
2,RoboCop 2 (1990),RoboCop 2 (1990),2986
3,RoboCop 3 (1993),RoboCop 3 (1993),519
1,Boris and Natasha: The Movie (1992),Boris and Natasha (1992),54198
2,Dudley Do-Right (1999),Dudley Do-Right (1999),2828
3,The Adventures of Rocky and Bullwinkle (2000),Adventures of Rocky and Bullwinkle The (2000),3754
1,The Rugrats Movie (1998),Rugrats Movie The (1998),2354
2,Rugrats in Paris: The Movie (2000),Rugrats in Paris: The Movie (2000),3990
3,Rugrats Go Wild (2003),Rugrats Go Wild! (2003),6485
1,Rush Hour (1998),Rush Hour (1998),2273
2,Rush Hour 2 (2001),Rush Hour 2 (2001),4701
3,Rush Hour 3 (2007),Rush Hour 3 (2007),54648
1,The Santa Clause (1994),Santa Clause The (1994),317
2,The Santa Clause 2 (2002),Santa Clause 2 The (2002),5804
3,The Santa Clause 3: The Escape Clause (2006),Santa Clause 3: The Escape Clause The (2006),49013
1,Agent 077 - Mission Bloody Mary (1965),Mission Bloody Mary (1965),129978
2,Agent 077 From the Orient with Fury (1965),From the Orient with Fury (1965),124843
3,Special Mission Lady Chaplin (1966),Special Mission Lady Chaplin (1966),124841
1,Sometimes They Come Back (1991),Sometimes They Come Back (1991),90730
2,Sometimes They Come Back Again (1996),Sometimes They Come Back... Again (1996),121271
3,Sometimes They Come Back for More (1998),Sometimes They Come Back... for More (1998),122284
1,Spider-Man (2002),Spider-Man (2002),5349
2,Spider-Man 2 (2004),Spider-Man 2 (2004),8636
3,Spider-Man 3 (2007),Spider-Man 3 (2007),52722
1,Stargate (1994),Stargate (1994),316
2,Stargate: The Ark of Truth (2008),Stargate: The Ark of Truth (2008),59392
3,Stargate: Continuum (2008),Stargate: Continuum (2008),60674
1,Stuart Little (1999),Stuart Little (1999),3157
2,Stuart Little 2 (2002),Stuart Little 2 (2002),5480
3,Stuart Little 3: Call of the Wild (2005),Stuart Little 3: Call of the Wild (2005),121781
1,Taken (2008),Taken (2008),59369
2,Taken 2 (2012),Taken 2 (2012),96861
3,Taken 3 (2014),Taken 3 (2015),120635
1,Shaun of the Dead (2004),Shaun of the Dead (2004),8874
2,Hot Fuzz (2007),Hot Fuzz (2007),51255
3,The Worlds End (2013),Worlds End The (2013),103341
1,The Talented Mr. Ripley (1999),Talented Mr. Ripley The (1999),3176
2,Ripleys Game (2002),Ripleys Game (2002),27408
3,Ripley Under Ground (2005),Ripley Under Ground (2005),55826
1,Topper (1937),Topper (1937),25842
2,Topper Takes a Trip (1938),Topper Takes a Trip (1938),83056
3,Topper Returns (1941),Topper Returns (1941),31847
1,Marius (1931),Marius (1931),66857
2,Fanny (1932),Fanny (1932),66977
3,César (1936),César (1936),66861
1,Time Bandits (1981),Time Bandits (1981),2968
2,Brazil (1985),Brazil (1985),1199
3,The Adventures of Baron Munchausen (1988),Adventures of Baron Munchausen The (1988),4467
1,Uptown Saturday Night (1974),Uptown Saturday Night (1974),7275
2,Lets Do It Again (1975),Lets Do It Again (1975),7274
3,A Piece of the Action (1977),Piece of the Action A (1977),7273
1,Urban Legend (1998),Urban Legend (1998),2279
2,Urban Legends: Final Cut (2000),Urban Legends: Final Cut (2000),3908
3,Urban Legends: Bloody Mary (2005),Urban Legends: Bloody Mary (2005),44724
1,V/H/S (2012),V/H/S (2012),96815
2,V/H/S/2 (2013),V/H/S/2 (2013),103483
3,V/H/S: Viral (2014),V/H/S: Viral (2014),117372
1,Platoon (1986),Platoon (1986),1090
2,Born on the Fourth of July (1989),Born on the Fourth of July (1989),4008
3,Heaven & Earth (1993),Heaven & Earth (1993),465
1,Whistling in the Dark (1941),Whistling in the Dark (1941),124213
2,Whistling in Dixie (1942),Whistling in Dixie (1942),124220
3,Whistling in Brooklyn (1943),Whistling in Brooklyn (1943),124224
1,Zeitgeist: The Movie (2007),Zeitgeist: The Movie (2007),58376
2,Zeitgeist: Addendum (2008),Zeitgeist: Addendum (2008),65225
3,Zeitgeist: Moving Forward (2011),Zeitgeist: Moving Forward (2011),84273
